State/UT,District,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,Households_Rural,Households_Urban
uttar pradesh,gorakhpur,4440895.0,356596.344,67814.262,141724.18800000002,59777.72,6999.290000000001,152092.68000000002,761958.0,189170.0
uttar pradesh,kushinagar,3564544.0,414959.116,63097.54,109863.952,16553.925000000003,4020.8500000000004,26648.824999999997,742324.0,42775.0
uttar pradesh,deoria,3100946.0,277966.76999999996,50811.13,99828.92599999999,22823.808,4483.248,42387.072,597778.0,67928.0
uttar pradesh,azamgarh,4613913.0,430364.59199999995,80192.16,149692.032,30082.316,3860.832,51960.363999999994,891024.0,80434.0
uttar pradesh,mau,2205968.0,166241.70400000003,35572.907,61988.43200000001,43800.561,6753.828,63068.835,352207.0,99321.0
uttar pradesh,ballia,3239774.0,269470.17900000006,72310.656,125413.79400000001,23267.894,5994.222,39316.939999999995,564927.0,64454.0
uttar pradesh,jaunpur,4494204.0,426926.56799999997,66678.336,142617.552,35858.990000000005,3545.6080000000006,57857.876000000004,926088.0,80582.0
uttar pradesh,ghazipur,3620268.0,358488.576,72817.992,130232.178,23603.327999999998,4487.090999999999,40260.884999999995,700173.0,61467.0
uttar pradesh,chandauli,1952756.0,169019.13,23455.716,64848.156,18702.496,2337.812,35168.824,344937.0,50822.0
uttar pradesh,varanasi,3676841.0,208933.06000000003,29408.645000000004,118951.38500000001,113174.18199999999,11064.515,281354.81,438935.0,316129.0
uttar pradesh,sant ravidas nagar (bhadohi),1578213.0,140004.27,18197.62,36982.259999999995,20238.68,2621.829,25574.332000000002,293510.0,45997.0
uttar pradesh,mirzapur,2496970.0,240018.43200000003,22327.296000000002,89309.18400000001,31730.941000000003,2728.705,53404.655,465152.0,77963.0
uttar pradesh,sonbhadra,1862559.0,188072.78399999999,6066.8640000000005,46175.576,31317.76,4278.88,64365.28,337048.0,91040.0
uttar pradesh,etah,1774480.0,189183.236,23397.22,30750.631999999998,29404.368,2100.312,53049.816,334246.0,67752.0
uttar pradesh,kanshiram nagar,1436719.0,166808.91,24139.826,30378.208,36317.49,3189.56,55744.810000000005,271234.0,72490.0
bihar,pashchim champaran,3935042.0,531412.362,41136.186,96544.10999999999,50145.78,7149.880000000001,52078.18,839514.0,96620.0
bihar,purba champaran,5099371.0,639665.6,63966.56,177050.30000000002,43571.384999999995,5789.205,54845.1,1142260.0,101565.0
bihar,sheohar,656246.0,94456.46399999999,5388.455999999999,31379.832,3382.2,601.28,2773.4039999999995,158484.0,7516.0
bihar,sitamarhi,3423574.0,473881.578,50052.227999999996,150963.97799999997,20762.059999999998,3228.5499999999997,30050.35,807294.0,49670.0
bihar,madhubani,4487379.0,532156.416,49234.944,181226.496,17606.918,2927.6139999999996,22884.87,1047552.0,41234.0
bihar,supaul,2229076.0,355390.227,28042.063000000002,52078.117,14408.169999999998,2169.5699999999997,13017.419999999998,572287.0,27815.0
bihar,araria,2811569.0,424435.28400000004,24385.257,44157.087,21443.305,2829.632,24007.659,659061.0,44213.0
bihar,kishanganj,1690400.0,249915.246,14062.755,24911.166,20117.647999999997,3425.203,22502.283,401793.0,43357.0
bihar,purnia,3264619.0,464063.397,36355.197,61304.842,39530.289000000004,8317.653,50677.659,712847.0,85749.0
bihar,katihar,3071029.0,414303.83999999997,33411.6,84865.46399999999,29541.474,4958.498,47839.03,668232.0,69838.0
bihar,madhepura,2001762.0,311217.92,30149.236,54949.414,11016.0,2088.0,12312.0,486278.0,24000.0
bihar,saharsa,1900661.0,278194.593,28554.966,54081.375,16397.826,2815.404,25719.095999999998,432651.0,38046.0
bihar,darbhanga,3937385.0,478987.872,73481.094,189599.36599999998,38215.6,8598.51,64011.13,907174.0,95539.0
bihar,muzaffarpur,4801062.0,603211.176,83890.296,218713.986,43693.4,8207.6,93059.7,998694.0,120700.0
